"source","target","line","one_way","notes"
11,163,1,0,
11,212,1,0,
49,87,1,0,
49,197,1,0,
82,163,1,0,
82,193,1,0,
84,148,1,0,
87,279,1,0,
113,246,1,0,
113,298,1,0,
114,140,1,0,
137,206,1,0,
137,298,1,0,
140,237,1,0,
143,159,1,0,
143,206,1,0,
148,279,1,0,
159,278,1,0,
185,237,1,0,
185,281,1,0,
192,197,1,0,
192,212,1,0,
193,278,1,0,
246,281,1,0,
13,156,2,0,
13,250,2,0,
16,91,2,0,
16,173,2,0,
24,156,2,0,
24,164,2,0,
28,162,2,0,
28,192,2,0,
37,158,2,0,
37,301,2,0,
48,126,2,0,
48,250,2,0,
51,103,2,0,
51,215,2,0,
68,158,2,0,
68,256,2,0,
72,286,2,0,
76,181,2,0,
76,296,2,0,
88,256,2,0,
91,109,2,0,
98,173,2,0,
98,211,2,0,
103,109,2,0,
105,177,2,0,
105,196,2,0,
112,181,2,0,
112,196,2,0,
126,259,2,0,
127,186,2,0,
127,226,2,0,
149,162,2,0,
149,208,2,0,
153,154,2,0,
153,247,2,0,
154,230,2,0,
154,275,2,0,
164,247,2,0,
177,239,2,0,
181,286,2,0,
186,208,2,0,
192,259,2,0,
211,275,2,0,
215,301,2,0,
221,239,2,0,
221,294,2,0,
226,296,2,0,
230,241,2,0,
241,301,2,0,
2,156,3,0,
2,263,3,0,
11,83,3,0,
11,104,3,0,
14,92,3,0,
14,167,3,0,
18,186,3,0,
18,193,3,0,
25,161,3,0,
25,255,3,0,
44,161,3,0,
44,166,3,0,
83,193,3,0,
87,255,3,0,
87,285,3,0,
90,104,3,0,
90,145,3,0,
92,145,3,0,
99,122,3,0,
99,236,3,0,
122,186,3,0,
156,167,3,0,
166,263,3,0,
229,236,3,0,
229,273,3,0,
248,273,3,0,
248,285,3,0,
3,263,4,0,
3,295,4,0,
15,78,4,0,
15,269,4,0,
17,110,4,0,
17,293,4,0,
18,186,4,0,
18,193,4,0,
21,67,4,0,
21,269,4,0,
25,161,4,0,
25,255,4,0,
33,36,4,0,
33,164,4,0,
36,289,4,0,
44,161,4,0,
44,166,4,0,
52,1,4,0,
52,265,4,0,
66,67,4,0,
66,85,4,0,
72,73,4,0,
73,1,4,0,
74,99,4,0,
74,122,4,0,
74,287,4,0,
74,293,4,0,
78,270,4,0,
80,205,4,0,
80,231,4,0,
83,193,4,0,
85,129,4,0,
87,255,4,0,
87,285,4,0,
96,195,4,0,
96,287,4,0,
99,236,4,0,
108,141,4,0,
108,265,4,0,
110,209,4,0,
122,186,4,0,
129,268,4,0,
141,213,4,0,
164,244,4,0,
166,263,4,0,
195,205,4,0,
200,270,4,0,
200,289,4,0,
209,242,4,0,
229,236,4,0,
229,273,4,0,
231,300,4,0,
242,265,4,0,
244,295,4,0,
248,273,4,0,
248,285,4,0,
267,268,4,0,
299,300,4,0,
74,138,5,0,
3,156,6,0,
3,295,6,0,
11,83,6,0,
11,104,6,0,
14,92,6,0,
14,167,6,0,
15,78,6,0,
